airportCode,airportName,cityCode,cityName,countryName,countryCode
PKL,Pakatoa Island,PKL,Pakatoa Island,New Zealand,NZ
PKM,Port Kaituma,PKM,Port Kaituma,Guyana,GY
PKN,Pangkalanbuun,PKN,Pangkalanbuun,Indonesia,ID
PKO,Parakou,PKO,Parakou,Benin,BJ
PKP,Puka Puka,PKP,Puka Puka,French Polynesia,PF
PKR,Pokhara,PKR,Pokhara,Nepal,NP
PKS,Paksane,PKS,Paksane,Laos,LA
PKT,Port Keats,PKT,Port Keats,Australia,AU
PKU,Sultan Syarif Kasim Ii,PKU,Pekanbaru,Indonesia,ID
PKV,Pskov,PKV,Pskov,Russian Federation,RU
PKW,Selebi-Phikwe,PKW,Selebi-Phikwe,Botswana,BW
PKX,Beijing Daxing International Airport,PKX, Beijing,China,CN
PKY,Palangkaraya,PKY,Palangkaraya,Indonesia,ID
PKZ,Pakse,PKZ,Pakse,Laos,LA
PLA,Planadas,PLA,Planadas,Colombia,CO
PLB,Clinton County,PLB,Plattsburgh,United States,US
PLC,Planeta Rica,PLC,Planeta Rica,Colombia,CO
PLD,Playa Samara,PLD,Playa Samara,Costa Rica,CR
PLF,Pala,PLF,Pala,Chad,TD
PLG,La Plagne,PLG,La Plagne,France,FR
PLH,Plymouth,PLH,Plymouth,United Kingdom,GB
PLI,Palm Island,PLI,Palm Island,Saint Vincent and the Grenadines,VC
PLJ,Placencia,PLJ,Placencia,Belize,BZ
PLK,M Graham Clark,PLK,Branson/point Lookout,United States,US
PLL,Ponta Pelada,PLL,Manaus,Brazil,BR
PLM,Mahmud Badaruddin Ii,PLM,Palembang,Indonesia,ID
PLN,Emmet County,PLN,Pellston,United States,US
PLO,Port Lincoln,PLO,Port Lincoln,Australia,AU
PLP,La Palma,PLP,La Palma,Panama,PA
PLQ,Palanga Intl.,PLQ,Klaipeda/Palanga,Lithuania,LT
PLR,St Clair County,PLR,Pell City,United States,US
PLS,Intl.,PLS,Providenciales,Turks and Caicos Islands,TC
PLT,Plato,PLT,Plato,Colombia,CO
PLU,Pampulha Domestic,BHZ,Belo Horizonte,Brazil,BR
PLV,Poltava,PLV,Poltava,Ukraine,UA
PLW,Mutiara,PLW,Palu,Indonesia,ID
